country,month_year,NO2,O3,PM10,PM2.5
Macedonia,2019-03,8.603870967741935,49.976129032258065,21.20225806451613,17.821290322580644
Macedonia,2019-04,7.139666666666666,58.75366666666667,23.800999999999995,18.391666666666666
Macedonia,2019-05,5.911612903225807,59.70774193548387,12.761290322580646,10.552903225806453
Macedonia,2019-06,5.580666666666668,63.34966666666667,18.67133333333333,13.704000000000004
Macedonia,2019-07,5.3199999999999985,68.13451612903226,15.7458064516129,12.530645161290325
Macedonia,2019-08,5.857741935483871,74.90290322580645,18.20129032258065,12.735806451612904
Macedonia,2019-09,7.557666666666666,60.61333333333334,17.61766666666667,13.789666666666673
Macedonia,2019-10,12.70774193548387,43.6683870967742,25.031935483870964,19.878387096774194
Macedonia,2019-11,13.215,34.09866666666667,17.619666666666667,13.918999999999999
Macedonia,2019-12,15.616129032258069,27.91354838709677,23.097741935483867,19.607419354838708
Macedonia,2020-01,13.855161290322577,34.56322580645162,30.980645161290322,26.674838709677417
Macedonia,2020-02,10.093793103448277,47.35275862068965,23.426896551724134,20.186551724137924
Macedonia,2020-03,7.309032258064517,56.797096774193555,27.362903225806456,21.09225806451613
Macedonia,2020-04,5.2796666666666665,64.582,20.48466666666667,16.935
Macedonia,2020-05,4.807241379310347,66.60827586206898,22.207931034482755,12.276206896551725
Malta,2019-01,4.273225806451612,69.76322580645163,13.300967741935482,4.9799999999999995
Malta,2019-02,5.165714285714286,71.24321428571429,16.529642857142854,8.715000000000002
Malta,2019-03,5.45516129032258,82.36451612903225,22.055806451612902,12.274516129032259
Malta,2019-04,5.270333333333334,95.64633333333335,48.09366666666666,25.625333333333334
Malta,2019-05,4.80483870967742,86.47709677419354,19.79774193548387,9.921290322580644
Malta,2019-06,8.534999999999998,78.13766666666666,39.85,25.203666666666656
Malta,2019-07,5.765161290322582,81.25419354838708,31.463225806451618,18.32354838709678
Malta,2019-08,6.720645161290322,83.89935483870968,33.04387096774194,18.38935483870968
Malta,2019-09,4.599000000000001,77.2,22.228666666666662,12.148
Malta,2019-10,4.638709677419355,67.81645161290324,17.278387096774193,8.547096774193548
Malta,2019-11,3.1743333333333337,71.22200000000002,18.194333333333336,6.454333333333334
Malta,2019-12,4.310967741935484,68.46709677419354,33.28903225806451,10.316774193548383
Malta,2020-01,5.26516129032258,72.76935483870966,14.602258064516128,6.795806451612902
Malta,2020-02,6.320689655172414,79.20379310344828,15.636551724137929,7.434137931034481
Malta,2020-03,5.655483870967741,84.83741935483869,16.162258064516127,8.481612903225807
Malta,2020-04,7.682333333333332,87.708,21.165666666666667,12.414
Malta,2020-05,7.580344827586208,85.39206896551724,28.781034482758624,12.742068965517243
Monaco,2019-01,13.043870967741938,54.96903225806452,7.209032258064517,5.430645161290322
Monaco,2019-02,16.148214285714285,63.54035714285714,14.145714285714288,11.23107142857143
Monaco,2019-03,9.607096774193547,81.26709677419355,11.432903225806452,8.677419354838712
Monaco,2019-04,8.230666666666666,90.02900000000001,13.354999999999999,10.676666666666666
Monaco,2019-05,7.561612903225806,84.17645161290325,10.501935483870971,7.7941935483870965
Monaco,2019-06,6.253,97.97866666666665,20.997333333333337,13.139000000000001
Monaco,2019-07,5.035161290322581,93.37645161290322,19.096774193548388,12.455806451612904
Monaco,2019-08,5.288387096774193,88.80419354838709,19.273225806451613,11.840322580645159
Monaco,2019-09,5.717000000000001,81.64833333333333,13.308333333333332,8.443999999999999
Monaco,2019-10,7.7716129032258054,61.22870967741936,11.048064516129033,7.437741935483871
Monaco,2019-11,7.547333333333332,52.34533333333334,3.964999999999999,3.103
Monaco,2019-12,9.101935483870971,58.38129032258065,7.417096774193547,5.131612903225806
Monaco,2020-01,10.366451612903223,60.32322580645162,9.142580645161292,6.428709677419355
Monaco,2020-02,8.876206896551727,67.59379310344829,9.882413793103451,6.873793103448277
Monaco,2020-03,6.515806451612904,77.04967741935482,12.482903225806453,9.435483870967738
Monaco,2020-04,5.726666666666668,91.70266666666667,15.783,12.076333333333329
Monaco,2020-05,5.4624137931034475,79.54931034482757,9.214137931034482,6.263103448275862
Montenegro,2019-01,4.461290322580646,54.017096774193554,7.79258064516129,7.03
Montenegro,2019-02,3.4374999999999996,56.98285714285714,16.316785714285718,12.615
Montenegro,2019-03,3.031290322580645,63.56548387096775,16.251935483870966,12.701290322580643
Montenegro,2019-04,2.587666666666667,66.105,25.23,16.24233333333333
Montenegro,2019-05,2.366129032258064,64.73870967741932,8.11290322580645,6.899354838709678
Montenegro,2019-06,2.417,62.46233333333334,18.333000000000002,12.193000000000001
Montenegro,2019-07,2.1767741935483866,66.91806451612902,14.176129032258068,10.69225806451613
Montenegro,2019-08,2.674516129032258,68.84451612903226,16.24096774193548,11.86516129032258
Montenegro,2019-09,3.1756666666666664,60.621000000000016,14.586333333333334,10.932999999999996
Montenegro,2019-10,4.608709677419353,52.731935483870956,13.834516129032256,10.579354838709676
Montenegro,2019-11,4.6403333333333325,51.68866666666666,8.489666666666666,6.791666666666667
Montenegro,2019-12,5.663548387096774,49.69161290322582,9.040645161290323,7.566774193548387
Montenegro,2020-01,6.542580645161289,55.254516129032254,12.514193548387098,11.085806451612903
Montenegro,2020-02,4.914482758620688,61.922413793103445,12.025517241379308,9.963448275862067
Montenegro,2020-03,3.864516129032258,65.97677419354837,17.045161290322575,12.933225806451613
Montenegro,2020-04,3.167666666666667,73.79400000000001,15.225666666666667,12.093000000000002
Montenegro,2020-05,2.731379310344828,71.1703448275862,17.322413793103447,8.85448275862069
Netherlands,2019-01,24.52032258064516,40.3116129032258,16.30193548387097,10.850967741935486
Netherlands,2019-02,33.96964285714286,27.742142857142856,21.073928571428574,16.055714285714284
Netherlands,2019-03,20.391290322580648,55.52451612903228,17.453548387096777,11.209032258064516
Netherlands,2019-04,16.448666666666668,67.71266666666666,19.111333333333334,14.876666666666663
Netherlands,2019-05,15.921290322580647,62.97032258064517,14.497096774193546,9.837741935483871
Netherlands,2019-06,15.818000000000001,66.03666666666666,14.925999999999998,10.172333333333333
Netherlands,2019-07,15.718064516129035,58.484838709677426,15.65032258064516,9.645483870967741
Netherlands,2019-08,18.116451612903226,56.40322580645164,16.395806451612902,10.568387096774194
Netherlands,2019-09,18.57533333333333,41.807,11.827000000000002,6.5169999999999995
Netherlands,2019-10,21.585806451612903,34.36290322580645,11.351612903225808,7.264193548387096
Netherlands,2019-11,29.50900000000001,22.977000000000007,13.462333333333333,9.676333333333336
Netherlands,2019-12,27.970322580645167,32.27903225806452,14.52225806451613,9.517096774193549
Netherlands,2020-01,27.924516129032263,35.11290322580644,15.99741935483871,10.621290322580645
Netherlands,2020-02,17.18241379310345,57.54034482758621,14.827241379310347,7.056551724137932
Netherlands,2020-03,17.056129032258063,57.95,15.168387096774193,9.103548387096776
Netherlands,2020-04,17.361,62.78166666666667,17.817333333333337,10.75166666666667
Netherlands,2020-05,16.08758620689655,63.94068965517241,14.427241379310347,8.054827586206896
Norway,2019-01,15.023225806451611,45.949354838709674,12.273225806451613,10.564193548387097
Norway,2019-02,17.37071428571429,40.073928571428574,14.161785714285712,11.08392857142857
Norway,2019-03,12.776129032258064,56.95129032258064,10.827741935483871,7.932903225806452
Norway,2019-04,9.487333333333336,77.00200000000001,17.122,13.131666666666668
Norway,2019-05,7.240645161290322,68.70548387096774,7.758709677419354,5.79516129032258
Norway,2019-06,8.094666666666667,62.151666666666664,9.51966666666667,7.081666666666666
Norway,2019-07,6.695483870967741,53.57483870967743,8.114838709677421,6.560322580645162
Norway,2019-08,8.216129032258063,55.131935483870954,9.58225806451613,7.1651612903225805
Norway,2019-09,8.474666666666668,44.03066666666666,6.061666666666667,4.680000000000001
Norway,2019-10,12.258709677419358,34.75612903225807,7.7287096774193556,5.730967741935484
Norway,2019-11,10.973333333333331,34.548666666666676,6.999333333333336,5.503000000000001
Norway,2019-12,16.560645161290317,34.479032258064514,10.572258064516127,7.909354838709677
Norway,2020-01,12.851612903225808,46.84548387096775,10.628709677419351,6.919032258064518
Norway,2020-02,10.152413793103447,60.03413793103447,10.610689655172413,6.006206896551724
Norway,2020-03,9.67,63.02548387096773,11.708064516129031,7.920967741935483
Norway,2020-04,6.905333333333334,69.846,8.511666666666667,4.999333333333334
Norway,2020-05,6.1000000000000005,65.19655172413792,6.098965517241379,3.540344827586207
Poland,2019-01,23.102903225806443,34.9225806451613,21.690322580645162,18.25483870967742
Poland,2019-02,21.449285714285715,39.244285714285716,27.01785714285714,21.05214285714286
Poland,2019-03,15.269354838709678,50.47225806451613,19.1658064516129,14.317741935483873
Poland,2019-04,10.369,64.455,19.450666666666667,14.315333333333339
Poland,2019-05,10.606129032258066,56.69645161290323,13.107741935483869,10.203870967741937
Poland,2019-06,7.8933333333333335,77.464,15.389999999999997,11.904666666666667
Poland,2019-07,7.4554838709677425,55.744838709677424,12.812258064516127,10.007096774193549
Poland,2019-08,10.120322580645162,63.0732258064516,16.552258064516124,12.420322580645161
Poland,2019-09,11.325666666666672,43.782,14.809000000000001,10.12833333333333
Poland,2019-10,17.807419354838704,29.981290322580644,21.246774193548397,15.003870967741932
Poland,2019-11,16.715666666666667,21.592666666666666,18.841,14.156666666666665
Poland,2019-12,19.105161290322577,24.375806451612902,19.21322580645161,14.050645161290323
Poland,2020-01,22.460645161290323,27.647096774193553,23.7758064516129,17.401935483870968
Poland,2020-02,17.32655172413793,43.12413793103447,17.704137931034477,12.774482758620687
Poland,2020-03,16.75903225806452,50.78677419354839,22.49548387096774,16.94709677419355
Poland,2020-04,12.983000000000002,62.894666666666666,18.445333333333338,13.046333333333335
Poland,2020-05,10.54689655172414,57.60931034482757,12.107931034482762,8.780344827586209
Portugal,2019-01,19.432258064516127,44.924193548387095,18.610645161290332,12.536774193548387
Portugal,2019-02,19.744285714285713,52.34321428571428,26.579642857142854,17.022142857142857
Portugal,2019-03,12.513870967741935,71.23387096774194,17.384516129032257,11.203548387096772
Portugal,2019-04,9.256333333333332,79.71700000000003,15.353666666666665,8.671999999999999
Portugal,2019-05,9.210967741935484,74.66967741935483,14.501935483870968,8.888709677419351
Portugal,2019-06,7.103,66.20433333333334,11.631333333333338,6.904666666666666
Portugal,2019-07,6.346129032258064,65.0425806451613,16.458709677419353,9.56516129032258
Portugal,2019-08,6.705483870967743,61.769677419354856,14.267096774193552,8.422258064516129
Portugal,2019-09,10.382000000000001,64.65733333333334,17.479333333333333,10.437333333333333
Portugal,2019-10,11.277096774193545,52.190645161290334,14.44483870967742,8.433225806451611
Portugal,2019-11,9.024,54.547000000000004,16.938666666666666,7.222333333333333
Portugal,2019-12,13.905161290322583,44.45645161290323,18.03774193548387,10.591290322580644
Portugal,2020-01,15.073870967741936,45.58483870967741,20.105161290322584,13.016774193548386
Portugal,2020-02,17.103103448275867,43.08000000000001,21.8348275862069,15.02655172413793
Portugal,2020-03,9.683548387096772,66.72322580645161,18.143225806451614,11.02290322580645
Portugal,2020-04,9.391333333333334,71.86899999999999,14.532666666666666,9.574666666666667
Portugal,2020-05,8.907931034482758,71.47931034482757,15.133793103448278,9.641379310344828
Romania,2019-01,15.049032258064518,38.53580645161289,22.069354838709675,19.966451612903228
Romania,2019-02,14.840714285714284,41.004642857142855,26.7475,23.168571428571433
Romania,2019-03,10.487741935483873,54.58354838709677,19.306774193548385,16.353870967741933
Romania,2019-04,6.816666666666667,69.81533333333331,16.552,14.136333333333335
Romania,2019-05,7.443548387096773,66.16451612903225,13.97903225806452,11.956129032258065
Romania,2019-06,7.306666666666664,64.252,14.710666666666668,12.51933333333333
Romania,2019-07,8.032903225806454,67.53064516129034,15.274838709677415,12.62322580645161
Romania,2019-08,7.636129032258063,73.54,13.982258064516127,11.225806451612902
Romania,2019-09,8.218,60.17366666666666,15.286000000000001,11.115666666666666
Romania,2019-10,13.567419354838709,44.78870967741935,24.277419354838706,19.493870967741934
Romania,2019-11,13.150333333333329,38.28366666666667,18.627000000000002,14.405999999999999
Romania,2019-12,18.281935483870967,24.117419354838706,22.561612903225804,19.284193548387094
Romania,2020-01,22.523225806451613,26.713548387096772,30.559032258064512,27.03516129032258
Romania,2020-02,16.2951724137931,40.40862068965518,18.964827586206898,16.805862068965517
Romania,2020-03,12.592258064516132,45.09483870967742,30.352258064516125,19.126451612903224
Romania,2020-04,9.347000000000001,57.90766666666666,17.127666666666666,13.891
Romania,2020-05,8.91793103448276,51.60827586206898,15.010344827586206,10.386551724137933
Serbia,2019-01,17.206774193548387,30.208064516129028,31.402580645161294,25.401935483870968
Serbia,2019-02,14.906785714285716,30.812857142857137,41.192857142857136,33.999642857142845
Serbia,2019-03,11.08483870967742,42.96451612903226,26.434193548387107,21.548709677419353
Serbia,2019-04,8.754666666666667,52.33733333333334,25.45766666666667,20.393666666666668
Serbia,2019-05,8.549354838709677,48.18483870967742,11.762258064516129,10.256451612903225
Serbia,2019-06,7.156666666666668,52.19466666666666,21.49933333333333,17.31
Serbia,2019-07,6.126451612903225,61.82709677419355,20.560322580645156,17.02516129032258
Serbia,2019-08,5.940967741935484,63.963225806451604,22.081612903225807,16.71322580645161
Serbia,2019-09,7.389666666666668,46.87599999999999,20.89133333333333,15.468333333333334
Serbia,2019-10,12.222903225806451,35.43967741935484,36.01806451612903,27.853870967741933
Serbia,2019-11,6.998666666666669,34.79733333333333,15.051333333333334,11.917666666666667
Serbia,2019-12,10.545806451612902,21.026774193548384,24.27903225806451,19.451612903225808
Serbia,2020-01,17.499354838709678,20.148064516129033,43.97161290322581,37.122580645161285
Serbia,2020-02,9.16655172413793,39.39103448275863,21.812068965517252,17.676206896551726
Serbia,2020-03,7.173548387096774,49.18806451612903,32.9041935483871,21.0983870967742
Serbia,2020-04,6.422666666666668,65.12266666666667,21.983333333333334,17.354333333333333
Serbia,2020-05,5.294827586206896,55.72758620689654,14.233448275862067,10.019310344827586
Slovakia,2019-01,16.78258064516129,44.925161290322585,18.334516129032263,16.066129032258065
Slovakia,2019-02,17.154999999999998,53.441428571428574,24.89678571428572,21.481428571428562
Slovakia,2019-03,11.045806451612904,68.32290322580644,15.99838709677419,13.186129032258064
Slovakia,2019-04,9.149000000000001,78.67833333333331,22.598333333333336,18.167999999999996
Slovakia,2019-05,7.937419354838711,72.62709677419355,11.053548387096773,9.179354838709676
Slovakia,2019-06,7.149,84.91600000000001,19.680333333333337,15.548666666666664
Slovakia,2019-07,6.506451612903224,84.67129032258065,14.881935483870965,11.654838709677422
Slovakia,2019-08,8.034516129032259,77.97935483870968,14.078709677419354,11.36258064516129
Slovakia,2019-09,9.149333333333333,61.05066666666667,12.604999999999999,9.482333333333333
Slovakia,2019-10,12.265806451612905,44.75548387096775,19.498709677419352,14.965161290322579
Slovakia,2019-11,12.777000000000003,33.84366666666666,15.009666666666668,12.025666666666666
