Country,GDP,Date,Value,Unit
Malta,10.57,19-Sep,,thousand tones
Netherlands,880.4,19-Sep,1085.2,thousand tones
Austria,436.1,19-Sep,269.536,thousand tones
Poland,552.2,19-Sep,10142.493,thousand tones
Portugal,228.2,19-Sep,21.848000000000006,thousand tones
Romania,199.0,19-Sep,1768.0,thousand tones
Slovenia,49.93,19-Sep,236.247,thousand tones
Slovakia,99.75,19-Sep,348.0,thousand tones
Finland,276.3,19-Sep,624.0,thousand tones
Sweden,559.1,19-Sep,168.0,thousand tones
United Kingdom,2848.0,19-Sep,562.799,thousand tones
Norway,511.6,19-Sep,67.172,thousand tones
Montenegro,4.66,19-Sep,172.25,thousand tones
Serbia,42.65,19-Sep,3355.208,thousand tones
Bosnia and Herzegovina,19.55,19-Sep,1273.5410000000004,thousand tones
Ukraine,134.9,19-Sep,3513.4,thousand tones
Moldova,7.74,19-Sep,20.4,thousand tones
Belgium,527.8,19-Oct,304.9,thousand tones
Bulgaria,55.08,19-Oct,2849.2670000000007,thousand tones
Denmark,347.2,19-Oct,76.64,thousand tones
Germany,3820.0,19-Oct,13341.255,thousand tones
Estonia,26.36,19-Oct,1057.133,thousand tones
Ireland,245.8,19-Oct,,thousand tones
Greece,246.4,19-Oct,1598.549,thousand tones
Spain,1400.0,19-Oct,587.0,thousand tones
France,2902.0,19-Oct,827.203,thousand tones
Croatia,57.18,19-Oct,74.0,thousand tones
Italy,2129.0,19-Oct,944.0,thousand tones
Cyprus,21.34,19-Oct,0.602,thousand tones
Latvia,32.82,19-Oct,8.022,thousand tones
Lithuania,48.72,19-Oct,29.959,thousand tones
Luxembourg,63.93,19-Oct,3.299,thousand tones
Hungary,129.7,19-Oct,757.653,thousand tones
Malta,10.57,19-Oct,,thousand tones
Netherlands,880.4,19-Oct,858.659,thousand tones
Austria,436.1,19-Oct,314.649,thousand tones
Poland,552.2,19-Oct,10663.021,thousand tones
Portugal,228.2,19-Oct,124.31,thousand tones
Romania,199.0,19-Oct,1933.0,thousand tones
Slovenia,49.93,19-Oct,406.972,thousand tones
Slovakia,99.75,19-Oct,420.0,thousand tones
Finland,276.3,19-Oct,813.0,thousand tones
Sweden,559.1,19-Oct,253.0,thousand tones
United Kingdom,2848.0,19-Oct,628.289,thousand tones
Norway,511.6,19-Oct,67.171,thousand tones
Montenegro,4.66,19-Oct,167.17,thousand tones
Serbia,42.65,19-Oct,3578.068,thousand tones
Bosnia and Herzegovina,19.55,19-Oct,1125.586,thousand tones
Ukraine,134.9,19-Oct,4015.9,thousand tones
Moldova,7.74,19-Oct,23.7,thousand tones
Belgium,527.8,19-Nov,294.1,thousand tones
Bulgaria,55.08,19-Nov,2436.261,thousand tones
Denmark,347.2,19-Nov,148.261,thousand tones
Germany,3820.0,19-Nov,15115.941,thousand tones
Estonia,26.36,19-Nov,1293.062,thousand tones
Ireland,245.8,19-Nov,,thousand tones
Greece,246.4,19-Nov,2044.595,thousand tones
Spain,1400.0,19-Nov,449.0,thousand tones
France,2902.0,19-Nov,925.052,thousand tones
Croatia,57.18,19-Nov,59.0,thousand tones
Italy,2129.0,19-Nov,910.0,thousand tones
Cyprus,21.34,19-Nov,3.181,thousand tones
Latvia,32.82,19-Nov,8.452,thousand tones
Lithuania,48.72,19-Nov,23.375,thousand tones
Luxembourg,63.93,19-Nov,5.408,thousand tones
Hungary,129.7,19-Nov,673.7339999999998,thousand tones
Malta,10.57,19-Nov,,thousand tones
Netherlands,880.4,19-Nov,1030.217,thousand tones
Austria,436.1,19-Nov,299.249,thousand tones
Poland,552.2,19-Nov,9930.918,thousand tones
Portugal,228.2,19-Nov,59.94300000000001,thousand tones
Romania,199.0,19-Nov,1754.0,thousand tones
Slovenia,49.93,19-Nov,279.314,thousand tones
Slovakia,99.75,19-Nov,380.0,thousand tones
Finland,276.3,19-Nov,881.0,thousand tones
Sweden,559.1,19-Nov,258.0,thousand tones
United Kingdom,2848.0,19-Nov,894.173,thousand tones
Norway,511.6,19-Nov,67.172,thousand tones
Montenegro,4.66,19-Nov,122.39,thousand tones
Serbia,42.65,19-Nov,3393.1,thousand tones
Bosnia and Herzegovina,19.55,19-Nov,1389.698,thousand tones
Ukraine,134.9,19-Nov,3109.8,thousand tones
Moldova,7.74,19-Nov,11.0,thousand tones
Belgium,527.8,19-Dec,283.9,thousand tones
Bulgaria,55.08,19-Dec,2657.902,thousand tones
Denmark,347.2,19-Dec,186.28,thousand tones
Germany,3820.0,19-Dec,12623.124,thousand tones
Estonia,26.36,19-Dec,1135.061,thousand tones
Ireland,245.8,19-Dec,,thousand tones
Greece,246.4,19-Dec,2623.429,thousand tones
Spain,1400.0,19-Dec,310.0,thousand tones
France,2902.0,19-Dec,887.446,thousand tones
Croatia,57.18,19-Dec,42.0,thousand tones
Italy,2129.0,19-Dec,762.0,thousand tones
Cyprus,21.34,19-Dec,1.716,thousand tones
Latvia,32.82,19-Dec,6.185,thousand tones
Lithuania,48.72,19-Dec,20.737,thousand tones
Luxembourg,63.93,19-Dec,4.146,thousand tones
Hungary,129.7,19-Dec,647.548,thousand tones
Malta,10.57,19-Dec,,thousand tones
Netherlands,880.4,19-Dec,958.513,thousand tones
Austria,436.1,19-Dec,254.699,thousand tones
Poland,552.2,19-Dec,9795.658,thousand tones
Portugal,228.2,19-Dec,47.764,thousand tones
Romania,199.0,19-Dec,1799.0,thousand tones
Slovenia,49.93,19-Dec,332.042,thousand tones
Slovakia,99.75,19-Dec,429.0,thousand tones
Finland,276.3,19-Dec,881.0,thousand tones
Sweden,559.1,19-Dec,261.0,thousand tones
United Kingdom,2848.0,19-Dec,852.888,thousand tones
Norway,511.6,19-Dec,67.172,thousand tones
Montenegro,4.66,19-Dec,132.86700000000002,thousand tones
Serbia,42.65,19-Dec,3553.535,thousand tones
Bosnia and Herzegovina,19.55,19-Dec,1274.781,thousand tones
Ukraine,134.9,19-Dec,3457.4,thousand tones
Moldova,7.74,19-Dec,16.0,thousand tones
Belgium,527.8,20-Jan,316.0,thousand tones
Bulgaria,55.08,20-Jan,2422.37,thousand tones
