Country,GDP,Date,Value,Unit
Turkey,813.3,Nov-19,3023.0,thousand tones
Belgium,527.8,Dec-19,2737.0,thousand tones
Bulgaria,55.08,Dec-19,557.0,thousand tones
Denmark,347.2,Dec-19,665.0,thousand tones
Germany,3820.0,Dec-19,7613.188,thousand tones
Estonia,26.36,Dec-19,0.0,thousand tones
Ireland,245.8,Dec-19,265.0,thousand tones
Greece,246.4,Dec-19,1885.0,thousand tones
Spain,1400.0,Dec-19,5499.0,thousand tones
France,2902.0,Dec-19,3468.0,thousand tones
Croatia,57.18,Dec-19,279.0,thousand tones
Italy,2129.0,Dec-19,5457.0,thousand tones
Cyprus,21.34,Dec-19,0.0,thousand tones
Latvia,32.82,Dec-19,0.0,thousand tones
Lithuania,48.72,Dec-19,674.0,thousand tones
Luxembourg,63.93,Dec-19,0.0,thousand tones
Hungary,129.7,Dec-19,603.0,thousand tones
Malta,10.57,Dec-19,0.0,thousand tones
Netherlands,880.4,Dec-19,4874.0,thousand tones
Austria,436.1,Dec-19,819.33,thousand tones
Poland,552.2,Dec-19,2136.0,thousand tones
Portugal,228.2,Dec-19,1183.0,thousand tones
Romania,199.0,Dec-19,1045.0,thousand tones
Slovenia,49.93,Dec-19,0.0,thousand tones
Slovakia,99.75,Dec-19,490.0,thousand tones
Finland,276.3,Dec-19,981.0,thousand tones
Sweden,559.1,Dec-19,1555.0,thousand tones
United Kingdom,2848.0,Dec-19,4786.0,thousand tones
Norway,511.6,Dec-19,1248.0,thousand tones
Montenegro,4.66,Dec-19,,thousand tones
Albania,13.4,Dec-19,4.0,thousand tones
Turkey,813.3,Dec-19,2716.0,thousand tones
Belgium,527.8,Jan-20,2891.2,thousand tones
Bulgaria,55.08,Jan-20,569.434,thousand tones
Denmark,347.2,Jan-20,704.0,thousand tones
Germany,3820.0,Jan-20,7685.233,thousand tones
Estonia,26.36,Jan-20,,thousand tones
Ireland,245.8,Jan-20,260.612,thousand tones
Greece,246.4,Jan-20,,thousand tones
Spain,1400.0,Jan-20,5354.0,thousand tones
France,2902.0,Jan-20,3111.0,thousand tones
Croatia,57.18,Jan-20,18.9,thousand tones
Italy,2129.0,Jan-20,5501.943,thousand tones
Cyprus,21.34,Jan-20,0.0,thousand tones
Latvia,32.82,Jan-20,0.0,thousand tones
Lithuania,48.72,Jan-20,600.3,thousand tones
Luxembourg,63.93,Jan-20,0.0,thousand tones
Hungary,129.7,Jan-20,543.0,thousand tones
Malta,10.57,Jan-20,0.0,thousand tones
Netherlands,880.4,Jan-20,,thousand tones
Austria,436.1,Jan-20,778.09,thousand tones
Poland,552.2,Jan-20,2278.919,thousand tones
Portugal,228.2,Jan-20,1173.427,thousand tones
Romania,199.0,Jan-20,1030.0,thousand tones
Slovenia,49.93,Jan-20,0.0,thousand tones
Slovakia,99.75,Jan-20,,thousand tones
Finland,276.3,Jan-20,1044.0,thousand tones
Sweden,559.1,Jan-20,1650.703,thousand tones
United Kingdom,2848.0,Jan-20,4851.0,thousand tones
Norway,511.6,Jan-20,708.432,thousand tones
Montenegro,4.66,Jan-20,,thousand tones
Albania,13.4,Jan-20,,thousand tones
Turkey,813.3,Jan-20,2808.417,thousand tones
