country,Country_code,unit,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Belgium,BEL,Thousand tonnes,,,17957,20166,18619,,,,,,,5985,5985,5985,6722,6722,6722,6206,6206,6206
Belgium,BEL,Thousand tonnes,,,17968,20180,18633,,,,,,,5989,5989,5989,6726,6726,6726,6211,6211,6211
Belgium,BEL,Thousand tonnes,,,19064,21456,19607,,,,,,,6354,6354,6354,7152,7152,7152,6535,6535,6535
Belgium,BEL,Thousand tonnes,,,8450,8976,8143,,,,,,,2816,2816,2816,2992,2992,2992,2714,2714,2714
Belgium,BEL,Thousand tonnes,,,6501,6777,5968,,,,,,,2167,2167,2167,2259,2259,2259,1989,1989,1989
Belgium,BEL,Thousand tonnes,,,8448,8976,8135,,,,,,,2816,2816,2816,2992,2992,2992,2711,2711,2711
Belgium,BEL,Thousand tonnes,,,8438,8961,8122,,,,,,,2812,2812,2812,2987,2987,2987,2707,2707,2707
Belgium,BEL,Thousand tonnes,,,7341,7686,7148,,,,,,,2447,2447,2447,2562,2562,2562,2382,2382,2382
Belgium,BEL,Thousand tonnes,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0
Belgium,BEL,Thousand tonnes,,,68006,73342,65728,,,,,,,22668,22668,22668,24447,24447,24447,21909,21909,21909
Belgium,BEL,Thousand tonnes,,,739,897,544,,,,,,,246,246,246,299,299,299,181,181,181
Belgium,BEL,Thousand tonnes,,,44761,49553,44075,,,,,,,14920,14920,14920,16517,16517,16517,14691,14691,14691
Belgium,BEL,Thousand tonnes,,,50753,56106,50751,,,,,,,16917,16917,16917,18702,18702,18702,16917,16917,16917
Belgium,BEL,Thousand tonnes,,,44763,49553,44083,,,,,,,14921,14921,14921,16517,16517,16517,14694,14694,14694
Belgium,BEL,Thousand tonnes,,,45062,49624,44108,,,,,,,15020,15020,15020,16541,16541,16541,14702,14702,14702
Belgium,BEL,Thousand tonnes,,,47398,52008,46329,,,,,,,15799,15799,15799,17336,17336,17336,15443,15443,15443
Belgium,BEL,Thousand tonnes,,,22506,22892,21109,,,,,,,7502,7502,7502,7630,7630,7630,7036,7036,7036
Belgium,BEL,Thousand tonnes,,,16514,16338,14433,,,,,,,5504,5504,5504,5446,5446,5446,4811,4811,4811
Belgium,BEL,Thousand tonnes,,,22504,22892,21101,,,,,,,7501,7501,7501,7630,7630,7630,7033,7033,7033
Belgium,BEL,Thousand tonnes,,,22205,22820,21076,,,,,,,7401,7401,7401,7606,7606,7606,7025,7025,7025
Belgium,BEL,Thousand tonnes,,,19869,20437,18855,,,,,,,6623,6623,6623,6812,6812,6812,6285,6285,6285
Belgium,BEL,Thousand tonnes,,,0,,,,,,,,,0,0,0,,,,,,
Belgium,BEL,Thousand tonnes,,,31529,32641,29165,,,,,,,10509,10509,10509,10880,10880,10880,9721,9721,9721
Belgium,BEL,Thousand tonnes,,,230,152,67,,,,,,,76,76,76,50,50,50,22,22,22
Belgium,BEL,Thousand tonnes,,,20419,21769,19325,,,,,,,6806,6806,6806,7256,7256,7256,6441,6441,6441
Belgium,BEL,Thousand tonnes,,,23722,25333,23016,,,,,,,7907,7907,7907,8444,8444,8444,7672,7672,7672
Belgium,BEL,Thousand tonnes,,,20419,21769,19325,,,,,,,6806,6806,6806,7256,7256,7256,6441,6441,6441
