country,gdp,year,month,value,unit
Slovakia,99.75,19,9,348.0,thousand tones
Finland,276.3,19,9,624.0,thousand tones
Sweden,559.1,19,9,168.0,thousand tones
United Kingdom,2848.0,19,9,562.799,thousand tones
Norway,511.6,19,9,67.172,thousand tones
Montenegro,4.66,19,9,172.25,thousand tones
Serbia,42.65,19,9,3355.208,thousand tones
Bosnia and Herzegovina,19.55,19,9,1273.5410000000004,thousand tones
Ukraine,134.9,19,9,3513.4,thousand tones
Moldova,7.74,19,9,20.4,thousand tones
Belgium,527.8,19,10,304.9,thousand tones
Bulgaria,55.08,19,10,2849.2670000000007,thousand tones
Denmark,347.2,19,10,76.64,thousand tones
Germany,3820.0,19,10,13341.255,thousand tones
Estonia,26.36,19,10,1057.133,thousand tones
Ireland,245.8,19,10,,thousand tones
Greece,246.4,19,10,1598.549,thousand tones
Spain,1400.0,19,10,587.0,thousand tones
France,2902.0,19,10,827.203,thousand tones
Croatia,57.18,19,10,74.0,thousand tones
Italy,2129.0,19,10,944.0,thousand tones
Cyprus,21.34,19,10,0.602,thousand tones
Latvia,32.82,19,10,8.022,thousand tones
Lithuania,48.72,19,10,29.959,thousand tones
Luxembourg,63.93,19,10,3.299,thousand tones
Hungary,129.7,19,10,757.653,thousand tones
Malta,10.57,19,10,,thousand tones
Netherlands,880.4,19,10,858.659,thousand tones
Austria,436.1,19,10,314.649,thousand tones
Poland,552.2,19,10,10663.021,thousand tones
Portugal,228.2,19,10,124.31,thousand tones
Romania,199.0,19,10,1933.0,thousand tones
Slovenia,49.93,19,10,406.972,thousand tones
Slovakia,99.75,19,10,420.0,thousand tones
Finland,276.3,19,10,813.0,thousand tones
Sweden,559.1,19,10,253.0,thousand tones
United Kingdom,2848.0,19,10,628.289,thousand tones
Norway,511.6,19,10,67.171,thousand tones
Montenegro,4.66,19,10,167.17,thousand tones
Serbia,42.65,19,10,3578.068,thousand tones
Bosnia and Herzegovina,19.55,19,10,1125.586,thousand tones
Ukraine,134.9,19,10,4015.9,thousand tones
Moldova,7.74,19,10,23.7,thousand tones
Belgium,527.8,19,11,294.1,thousand tones
Bulgaria,55.08,19,11,2436.261,thousand tones
Denmark,347.2,19,11,148.261,thousand tones
Germany,3820.0,19,11,15115.941,thousand tones
Estonia,26.36,19,11,1293.062,thousand tones
Ireland,245.8,19,11,,thousand tones
Greece,246.4,19,11,2044.595,thousand tones
Spain,1400.0,19,11,449.0,thousand tones
France,2902.0,19,11,925.052,thousand tones
Croatia,57.18,19,11,59.0,thousand tones
Italy,2129.0,19,11,910.0,thousand tones
Cyprus,21.34,19,11,3.181,thousand tones
Latvia,32.82,19,11,8.452,thousand tones
Lithuania,48.72,19,11,23.375,thousand tones
Luxembourg,63.93,19,11,5.408,thousand tones
Hungary,129.7,19,11,673.7339999999998,thousand tones
Malta,10.57,19,11,,thousand tones
Netherlands,880.4,19,11,1030.217,thousand tones
Austria,436.1,19,11,299.249,thousand tones
Poland,552.2,19,11,9930.918,thousand tones
Portugal,228.2,19,11,59.94300000000001,thousand tones
Romania,199.0,19,11,1754.0,thousand tones
Slovenia,49.93,19,11,279.314,thousand tones
Slovakia,99.75,19,11,380.0,thousand tones
Finland,276.3,19,11,881.0,thousand tones
Sweden,559.1,19,11,258.0,thousand tones
United Kingdom,2848.0,19,11,894.173,thousand tones
Norway,511.6,19,11,67.172,thousand tones
Montenegro,4.66,19,11,122.39,thousand tones
Serbia,42.65,19,11,3393.1,thousand tones
