Label,Country,Country_code,unit,tra_meas,airline,rep_airp_per_time,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,LIC_NEU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,LIC_EU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,UNK,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,TOTAL,BG_LBSF,N/A,N/A,N/A,N/A,4636,4486,5126,5388,5612,5656,5315,5228,4896,4754,4149,4591
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,LIC_NEU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,LIC_EU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,UNK,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,TOTAL,BG_LBBG,N/A,N/A,N/A,N/A,275,249,201,366,540,239,217,475,841,394,453,484
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,LIC_NEU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,LIC_EU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
