indic_is,unit,hhtyp,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
H_BBFIX,PC_HH,A2_DCH,BA	77 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,BE	87 	87 u	92 	92 	93 	94 	92 	91 	87 	87 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,BG	79 	78 	83 	81 	84 	79 	76 	74 	62 	50 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,CH	89 	: 	80 b	: 	: 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,CY	97 	96 	90 	92 	88 	87 	81 	76 	73 	71 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,CZ	84 	87 	85 	83 	91 	92 	85 	84 	80 	70 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,DE	97 	96 	98 	96 	96 	96 	95 	95 	92 	89 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,DK	93 	91 	92 	90 	90 	89 	90 	90 	91 	87 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EA	87 	87 	86 	85 	84 	83 	82 	81 	77 	74 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EE	93 	90 	89 	91 	89 	86 b	90 	89 	83 	85 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EL	91 	92 	88 	87 	88 	85 	78 	75 	65 	57 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,ES	89 	91 	87 	86 	83 	80 	77 	76 	73 	68 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EU15	: 	89 	87 	87 	85 	84 	83 	83 	80 	74 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	73 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EU27_2007	: 	87 	86 	85 	85 	83 	82 	82 	77 	71 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EU27_2020	85 	85 	85 	84 	83 	82 	81 	80 	76 	71 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,EU28	88 	87 	86 	85 	85 	83 	82 	82 	77 	71 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,FI	64 	61 	62 	67 	69 	75 	75 	77 	76 	80 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,FR	82 	85 	83 	86 	87 	88 	91 	92 	87 	82 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,HR	87 	89 	90 	90 	87 	80 	89 	83 	82 	71 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,HU	94 	89 	90 	87 	83 	83 	83 	78 	70 	67 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,IE	87 	86 	88 	80 	76 	73 	70 	67 	63 	56 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,IS	96 	96 	97 	: 	: 	96 	95 	95 	96 	94 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,IT	72 	71 	67 	66 	62 	61 	61 	52 	53 	50 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,LT	85 	81 	84 	87 	86 	86 	84 	78 	82 	77 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,LU	96 	94 b	98 	99 	99 	95 	75 	77 	75 	77 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,LV	76 	76 	83 	78 b	84 	81 	83 	84 	74 	73 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,ME	80 	67 	67 	: 	: 	: 	: 	52 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,MK	86 	86 	72 	76 	83 	78 	81 	67 	: 	45 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,MT	97 	100 	98 	97 	95 	97 	95 	94 	89 	94 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,NL	99 	99 	100 	98 	98 	: u	: u	92 	84 	89 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,NO	98 	96 	95 	97 	94 	90 	92 	89 	90 	89 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,PL	74 	71 	72 	74 	74 	75 	80 	79 	74 	69 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,PT	91 	91 	92 	91 	83 	75 	74 	69 	68 	58 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,RO	78 	78 	84 	81 	75 	71 b	66 	60 	38 	29 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,RS	94 	88 	89 	: 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,SE	97 b	88 	89 	81 b	75 	78 	79 	73 	82 	82 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,SI	93 	98 	95 	96 	95 	91 	89 	88 	87 	78 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,SK	87 	87 	86 	85 	88 	87 	78 	81 	62 	51 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,TR	: 	: 	: 	: 	: 	: 	38 	37 	: 	32 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,UK	99 	99 	94 	94 	95 	91 	85 	93 	90 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,XK	87 	83 	79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,AL	: 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,AT	82 	81 	84 	81 	82 	82 	76 	76 	70 	65 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,BA	79 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,BE	86 	85 u	91 	91 	91 	93 	90 	88 	87 	85 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,BG	73 	74 	78 	78 	82 	78 	73 	74 	58 	49 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,CH	88 	: 	79 b	: 	: 	92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,CY	98 	96 	92 	92 	87 	87 	82 	79 	76 	75 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,ALL_DCH,CZ	83 	86 	85 	84 	90 	91 	84 	82 	79 	69 	: 	: 	: 	: 	: 	: 	: 
